N,BFGS_Iters,BFGS_Total_Time(s),BFGS_Time/Iter(s),Newton_Iters,Newton_Total_Time(s),Newton_Time/Iter(s),Speedup (BFGS/Newton)
2,5,0.0007827281951904297,0.00015654563903808594,2,5.91278076171875e-05,2.956390380859375e-05,0.18885166006701187
5,5,0.0009734630584716797,0.00019469261169433594,2,0.0003910064697265625,0.00019550323486328125,1.0041636051922607
10,5,0.000797271728515625,0.000159454345703125,2,0.00039124488830566406,0.00019562244415283203,1.2268241626794258
20,5,0.00858163833618164,0.0017163276672363282,2,0.001829385757446289,0.0009146928787231445,0.5329360448963716
30,5,0.002443552017211914,0.0004887104034423829,2,0.004914999008178711,0.0024574995040893555,5.028539369694604
40,5,0.0012333393096923828,0.00024666786193847654,2,0.010753870010375977,0.005376935005187988,21.798279528320126
50,5,0.0020797252655029297,0.0004159450531005859,2,0.01881551742553711,0.009407758712768555,22.617792044021552
100,5,0.002167940139770508,0.00043358802795410154,2,0.12866568565368652,0.06433284282684326,148.37319916419224
145,5,0.0021102428436279297,0.00042204856872558595,2,0.3243250846862793,0.16216254234313965,384.22720596542763
200,5,0.004221916198730469,0.0008443832397460937,2,0.7540960311889648,0.3770480155944824,446.53659362999775
