Dimension,Method,Iterations,Total_Time_(s),Time_StdDev_(s),Time_per_Iter_(ms),Final_Grad_Norm,Final_f(x)
10,BFGS,3,0.0019601333333412185,0.0013764948633611781,0.6533777777804062,8.505738894439622e-05,22.97585093354871
10,Newton,3,0.007153200000175275,0.008663190862938644,2.384400000058425,1.056596002146258e-09,22.97585092994046
50,BFGS,3,0.0025879666645778343,0.0014257336911160114,0.8626555548592781,1.3275813796145939e-06,39.11023005428234
50,Newton,3,0.001046499998968405,0.00030149601812949747,0.3488333329894683,2.707617267439705e-10,39.110230054281466
100,BFGS,3,0.0025412999966647476,0.0008758038854782277,0.8470999988882492,9.135945337764574e-08,46.04670185988092
100,Newton,3,0.0013252999973095332,6.234891105096089e-05,0.44176666576984436,4.783854983613967e-11,46.04670185988092
500,BFGS,3,0.04400550000233731,0.003612803655042472,14.668500000779101,7.684383785984136e-08,62.14508098422192
500,Newton,3,0.02465703333048926,0.0005701107874569468,8.219011110163088,7.782286094812024e-12,62.14508098422191
1000,BFGS,3,0.2979263333351507,0.09744477941060074,99.30877777838356,2.0474620415055532e-08,69.07705278982137
1000,Newton,3,0.14486843332997523,0.03961587764944709,48.28947777665841,9.89670075476494e-13,69.07705278982138
2000,BFGS,3,0.9822103333329627,0.05565942508247876,327.4034444443209,5.32008613142671e-09,76.00877459542083
2000,Newton,3,0.5006762000023931,0.04864470782234728,166.89206666746438,1.3496060233495707e-13,76.00877459542082
3000,BFGS,3,2.403404966670981,0.2391338702787522,801.1349888903271,3.1174530186558688e-09,80.0635090098358
3000,Newton,3,0.7887877999989238,0.02120055689127293,262.92926666630797,5.751844071291099e-14,80.0635090098358
